epoch,accuracy,loss,val_accuracy,val_loss
0,0.2265625,1.7822126150131226,0.6041666865348816,1.3696414232254028
1,0.43103447556495667,1.5191919803619385,0.75,1.0824333429336548
2,0.49843260645866394,1.3824654817581177,0.7395833134651184,0.9421383738517761
3,0.5799372792243958,1.2701258659362793,0.7708333134651184,0.8326976299285889
4,0.647335410118103,1.156927466392517,0.78125,0.7668044567108154
5,0.6489028334617615,1.1001083850860596,0.7604166865348816,0.7518653273582458
6,0.7210031151771545,0.9700159430503845,0.78125,0.6838364601135254
7,0.7210031151771545,0.9527814388275146,0.78125,0.6660028696060181
8,0.7304075360298157,0.894637942314148,0.8229166865348816,0.6076300740242004
9,0.7993730306625366,0.7977612614631653,0.8333333134651184,0.611392080783844
10,0.8025078177452087,0.7767317295074463,0.84375,0.5819149017333984
11,0.8134796023368835,0.7352926135063171,0.8125,0.6061881184577942
12,0.8416928052902222,0.6729423403739929,0.875,0.5314257144927979
13,0.8213165998458862,0.6838521957397461,0.8333333134651184,0.5122140049934387
14,0.8479623794555664,0.6270129084587097,0.875,0.4777110815048218
15,0.8730407357215881,0.5575556755065918,0.84375,0.5219135880470276
16,0.8652037382125854,0.5930136442184448,0.8333333134651184,0.5168688297271729
17,0.8981191515922546,0.4996698498725891,0.8333333134651184,0.47552478313446045
18,0.8824451565742493,0.5187979936599731,0.8645833134651184,0.45971599221229553
19,0.8855799436569214,0.5009682178497314,0.8541666865348816,0.517837405204773
20,0.9012539386749268,0.4608503580093384,0.875,0.46908891201019287
21,0.92476487159729,0.4211657643318176,0.8541666865348816,0.4512275159358978
22,0.9200627207756042,0.4012086093425751,0.875,0.4377787113189697
23,0.9294670820236206,0.4061194062232971,0.8958333134651184,0.39205923676490784
24,0.9200627207756042,0.3895561397075653,0.875,0.4238496720790863
25,0.9404388666152954,0.3551881015300751,0.8645833134651184,0.4369173049926758
26,0.9435736536979675,0.3484271764755249,0.8854166865348816,0.4595284163951874
27,0.9655172228813171,0.30633604526519775,0.8645833134651184,0.4257512092590332
28,0.9388715028762817,0.3458268642425537,0.875,0.4114358425140381
29,0.9561128616333008,0.3351666331291199,0.8854166865348816,0.4183110296726227
